ID,Treatment,Rate
1,AZ50+autoclaved AZ288,37.5
2,AZ50+autoclaved AZ288,38.33
3,AZ50+autoclaved AZ288,36.67
4,AZ50+autoclaved AZ288,35.83
5,AZ50+autoclaved AZ288,40.83
6,AZ50+autoclaved AZ288,39.17
7,AZ50+AZ288,20.83
8,AZ50+AZ288,24.17
9,AZ50+AZ288,25
10,AZ50+AZ288,21.25
11,AZ50+AZ288,19.17
12,AZ50+AZ288,16.67
13,AZ52+autoclaved AZ288,32.5
14,AZ52+autoclaved AZ288,32.5
15,AZ52+autoclaved AZ288,32.5
16,AZ52+autoclaved AZ288,33.33
17,AZ52+autoclaved AZ288,30
18,AZ52+autoclaved AZ288,35
19,AZ52+AZ288,15.83
20,AZ52+AZ288,15.83
21,AZ52+AZ288,15
22,AZ52+AZ288,12.47
23,AZ52+AZ288,12.5
24,AZ52+AZ288,12.47
25,AZ290+autoclaved AZ288,47.5
26,AZ290+autoclaved AZ288,49.17
27,AZ290+autoclaved AZ288,42.5
28,AZ290+autoclaved AZ288,45
29,AZ290+autoclaved AZ288,48.33
30,AZ290+autoclaved AZ288,50
31,AZ290+AZ288,47.5
32,AZ290+AZ288,48.33
33,AZ290+AZ288,47.5
34,AZ290+AZ288,44.63
35,AZ290+AZ288,46.89
36,AZ290+AZ288,44.63
37,AZ103+autoclaved AZ288,50
38,AZ103+autoclaved AZ288,50
39,AZ103+autoclaved AZ288,45
40,AZ103+autoclaved AZ288,46.67
41,AZ103+autoclaved AZ288,49.17
42,AZ103+autoclaved AZ288,47.22
43,AZ103+AZ288,47.5
44,AZ103+AZ288,47.5
45,AZ103+AZ288,49.17
46,AZ103+AZ288,46.66
47,AZ103+AZ288,45
48,AZ103+AZ288,49.75
