ID,Group,Strain,Treatment,Rate
1,AZ50,AZ50,Monoculture,34.4
2,AZ50,AZ50,Monoculture,39.17
3,AZ50,AZ50,Monoculture,37.35
4,AZ50+AZ288,AZ50,Coculture,23.33
5,AZ50+AZ288,AZ50,Coculture,22.07
6,AZ50+AZ288,AZ50,Coculture,20.83
7,AZ50+AZ288+Fru,AZ50,Fru,31.11
8,AZ50+AZ288+Fru,AZ50,Fru,31.11
9,AZ50+AZ288+Fru,AZ50,Fru,30.1
10,AZ50+AZ288+Man,AZ50,Man,29.17
11,AZ50+AZ288+Man,AZ50,Man,31.67
12,AZ50+AZ288+Man,AZ50,Man,28.33
13,AZ50+AZ288+Cel,AZ50,Cel,35.83
14,AZ50+AZ288+Cel,AZ50,Cel,37.5
15,AZ50+AZ288+Cel,AZ50,Cel,39.17
16,AZ52,AZ52,Monoculture,30.77
17,AZ52,AZ52,Monoculture,28.33
18,AZ52,AZ52,Monoculture,31.667
19,AZ52+AZ288,AZ52,Coculture,14.718
20,AZ52+AZ288,AZ52,Coculture,14.72
21,AZ52+AZ288,AZ52,Coculture,11.321
22,AZ52+AZ288+Fru,AZ52,Fru,30.57
23,AZ52+AZ288+Fru,AZ52,Fru,30.57
24,AZ52+AZ288+Fru,AZ52,Fru,26.04
25,AZ52+AZ288+Man,AZ52,Man,30
26,AZ52+AZ288+Man,AZ52,Man,18.33
27,AZ52+AZ288+Man,AZ52,Man,22.5
28,AZ52+AZ288+Cel,AZ52,Cel,25.83
29,AZ52+AZ288+Cel,AZ52,Cel,25
30,AZ52+AZ288+Cel,AZ52,Cel,23.33
31,AZ103,AZ103,Monoculture,47.22
32,AZ103,AZ103,Monoculture,45
33,AZ103,AZ103,Monoculture,48.333
34,AZ103+AZ288,AZ103,Coculture,46.94
35,AZ103+AZ288,AZ103,Coculture,49.75
36,AZ103+AZ288,AZ103,Coculture,45.06
37,AZ103+AZ288+Fru,AZ103,Fru,38.49
38,AZ103+AZ288+Fru,AZ103,Fru,36.61
39,AZ103+AZ288+Fru,AZ103,Fru,38.49
40,AZ103+AZ288+Man,AZ103,Man,35
41,AZ103+AZ288+Man,AZ103,Man,32.5
42,AZ103+AZ288+Man,AZ103,Man,34.17
43,AZ103+AZ288+Cel,AZ103,Cel,35.83
44,AZ103+AZ288+Cel,AZ103,Cel,39.17
45,AZ103+AZ288+Cel,AZ103,Cel,33.33
46,AZ290,AZ290,Monoculture,45
47,AZ290,AZ290,Monoculture,48.33
48,AZ290,AZ290,Monoculture,50
49,AZ290+AZ288,AZ290,Coculture,44.63
50,AZ290+AZ288,AZ290,Coculture,46.89
51,AZ290+AZ288,AZ290,Coculture,44.63
52,AZ290+AZ288+Fru,AZ290,Fru,40.71
53,AZ290+AZ288+Fru,AZ290,Fru,38.67117272
54,AZ290+AZ288+Fru,AZ290,Fru,40.7064976
55,AZ290+AZ288+Man,AZ290,Man,39.30533333
56,AZ290+AZ288+Man,AZ290,Man,37.63866667
57,AZ290+AZ288+Man,AZ290,Man,37.63866667
58,AZ290+AZ288+Cel,AZ290,Cel,35.972
59,AZ290+AZ288+Cel,AZ290,Cel,33.472
60,AZ290+AZ288+Cel,AZ290,Cel,30.972
61,SC1,SC1,Monoculture,34.167
62,SC1,SC1,Monoculture,35.71
63,SC1,SC1,Monoculture,36.67
64,SC1+AZ288,SC1,Coculture,41.67
65,SC1+AZ288,SC1,Coculture,42.5
66,SC1+AZ288,SC1,Coculture,42.5
67,SC1+AZ288+Fru,SC1,Fru,35
68,SC1+AZ288+Fru,SC1,Fru,37.5
69,SC1+AZ288+Fru,SC1,Fru,35
70,SC1+AZ288+Man,SC1,Man,36.67
71,SC1+AZ288+Man,SC1,Man,36.67
72,SC1+AZ288+Man,SC1,Man,35.83
73,SC1+AZ288+Cel,SC1,Cel,39.16
74,SC1+AZ288+Cel,SC1,Cel,35.83
75,SC1+AZ288+Cel,SC1,Cel,40.83
